Link,Title,Location,Salary,Summary
https://kr.indeed.com//rc/clk?jk=7c4c26a263cfcff7&fccid=e90e80bc9ed9a53f&vjs=3,ADS User Data Analyst,대한민국,,"격요건 Metric 도출과 현상에 대한 인과관계를 데이터로 해석하여 리포팅하실 수 있으신 분 SQL, R, 
Python 등 툴을 이용한 데이터를 분석하실 수 있으신 분 긍정적인 마인드로 데이터에 대해서 세밀하게 문제를 해결하..."
https://kr.indeed.com//rc/clk?jk=3e80435be74cd28f&fccid=617504e506359426&vjs=3,블록체인인터넷경제연구센터 위촉연구원,광주 북구,,"업무) 지원자격 연구직 O명 블록체인 연구 및 프로그래밍 제작 1) SW프로그래밍 제작 경험자 2) 
Python/C/Java/Go 프로그래밍 가능자 3) 블록체인 개발 경험자 우대 4) 컴퓨터공학 및 컴퓨터사이..."
https://kr.indeed.com//rc/clk?jk=af70d21b99efd308&fccid=a792f668ea278019&vjs=3,[정보보호팀] 보안 엔지니어,서울 동작구,,"Orchestration, Automation and Response) 도구 사용 경험 - 
Python 개발 경험 - Snort, Zeek(bro), Osquery, Wazuh 혹은 상용 EDR(Endpoint..."
https://kr.indeed.com//rc/clk?jk=8f9351a6134c9885&fccid=e90e80bc9ed9a53f&vjs=3,Hbase Engineer,대한민국,,"으신 분 Hadoop 에코 시스템에 운영 경험이 있고, 이에 대한 이해도가 높으신 분 프로그래밍(Java, 
Python, Bash)이 가능하신 분 매사 긍정적이고, 책임감이 있으며 능동적이신 분 협업 및 커뮤니케이션이 원활하..."
https://kr.indeed.com//rc/clk?jk=65da831cb9d5a6b5&fccid=a0e87e3780944019&vjs=3,DGIST 계약직 연구원 및 일반직원 초빙 공고,대구 현풍면,,"구축 및 생물학 데이터 분석 Tool 개발 및 유지 다양한 프로그래밍(Java, Perl, C++, 
Python) 우대 사항 관련 분야 석사학위 소지자 유전체, 단백체, 대사체 데이터 분석 유경험자(3년 이상..."
https://kr.indeed.com//rc/clk?jk=219ea412c514e15c&fccid=842365965c1f45a0&vjs=3,(유망벤처기업)데이터 사이언티스트,서울 강남구,,"업경영 등 전공우대) 혹은 데이터 교육 이수자 -통계적 데이터 분석 및 머신러닝 관련 분야 경력 3년 이상 -
Python을 통한 데이터 분석 능력을 갖추신 분 -데이터팀 셋팅 및 리딩 경험 -실제 서비스 데이터를 이용한 분석..."
https://kr.indeed.com//rc/clk?jk=35cae46934125d29&fccid=507fcbf57c9a3b19&vjs=3,웹 개발자,고양 일산동구,"월급 2,500,000원","Browsing - 프레임워크 개발 경험 - DB - Server* Back-end 개발자 - Java, php, 
python 등 - Linux - REST API 활용 경험자 - DB - Server - CDN 연동 [근무..."
https://kr.indeed.com//rc/clk?jk=20d40ee61adffeca&fccid=32b9af632cf3b9f9&vjs=3,챗봇 및 상담 플랫폼 서버 개발자 모집,성남 판교역,,"담시스템 코어 서버 개발 (kotlin/spring) QA 시스템 백엔드 서버 개발 (java/spring, 
python/flask) 챗봇 및 상담 통계 시스템 개발 (scala/spark) 위의 업무 중 하나에 참여하게..."
https://kr.indeed.com//rc/clk?jk=74f7a29d303aab97&fccid=918575cc38afd15e&vjs=3,메가스터디IT아카데미 강남캠퍼스 빅데이터 강사,서울 마포구,,"통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>
Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>딥러닝|인터넷·IT·통신·모바일·게임>빅데이터..."
https://kr.indeed.com//rc/clk?jk=e97e5ff34697d5a9&fccid=403118030354e1f2&vjs=3,[KRAFTON] 음성 (TTS/STT) 딥러닝 엔지니어,서울,,"험을 보유하신 분 독창적인 기술 제시 및 문제 해결을 위한 프로그래밍 능력을 보유하신 분 (C/C++/
Python/shell 등) 오픈소스 기반 딥 러닝 프레임워크 활용 능력을 보유하신 분 (PyTorch/TensorFlow..."
